generation,individual_id,iteration,benchmark,strategy,fitness_dir,optimized_fitness,source_format,source_path,buggy,agreement,liveness,commits,agreement_violations,real_liveness,potential_liveness,max_height,mutations,max_inter_block_latency_sec,avg_inter_block_latency_sec,global_blocks_committed,max_round_gap_between_committed_blocks,avg_round_gap_between_committed_blocks,global_rounds_committed,max_block_height_skew,final_block_height_skew,time_fitness,round_stress_fitness,block_height_skew_fitness
,,68,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_68,False,False,False,2,0,0,0,10.0,20,10.051338,4.851895666666667,10,3,1.4444444444444444,9,2,0,10.051338,3,2
,,69,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_69,False,False,False,4,0,0,0,10.0,15,13.067581,7.266748444444444,10,3,1.3333333333333333,9,3,0,13.067581,3,3
,,70,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_70,False,False,False,4,0,0,0,11.0,94,19.069634,10.514196666666667,10,4,1.5555555555555556,9,3,1,19.069634,4,3
,,71,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_71,False,False,False,4,0,0,0,10.0,13,18.063163,8.923570666666667,10,4,1.5555555555555556,9,2,0,18.063163,4,2
,,72,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_72,False,False,False,4,0,0,0,10.0,43,16.061303,7.923627444444445,10,4,1.75,8,2,0,16.061303,4,2
,,73,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_73,False,False,False,4,0,0,0,11.0,39,41.61113,8.9816322,11,3,1.7777777777777777,9,2,0,41.61113,3,2
,,74,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_74,False,False,False,4,0,0,0,12.0,0,15.083173,10.616700666666667,10,3,1.3333333333333333,9,4,2,15.083173,3,4
,,75,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_75,False,False,False,4,0,0,0,10.0,6,23.116718,10.324632,10,3,1.3333333333333333,9,3,0,23.116718,3,3
,,76,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_76,False,False,False,4,0,0,0,10.0,0,18.076895,9.800639125,9,3,1.5,8,3,1,18.076895,3,3
,,77,aptos,byzzfuzz,,,dstest,dstest/output/aptos/20260613_120230/aptos-localnet_byzzfuzz_77,False,False,False,4,0,0,0,16.0,0,19.087913,9.716619333333334,10,3,1.625,8,8,6,19.087913,3,8
